avg_assists_per_game,avg_clean_sheet,avg_goals_against,avg_goals_scored,avg_own_goals,avg_red_cards_,avg_saves,avg_successful_tackles,avg_yellow_cards,current_value,gameweek_1_points,gameweek_2_points,gameweek_3_points,matches_played,player_id,total_assists_per_game,total_clean_sheet,total_goals_against,total_goals_scored,total_own_goals,total_red_cards_,total_saves,total_successful_tackles,total_yellow_cards
0.0,,,0.0,0.0,0.0,,0.0,0.0,6.2,0.00,0.00,0.00,3,619,0,,,0,0,0,,0,0
0.0,0.0,,0.0,0.5,0.0,,1.5,0.0,6.2,0.00,1.00,,2,486,0,0,,0,1,0,,3,0
0.5,0.0,,0.0,0.0,0.0,,1.0,0.0,6.1,0.00,8.00,,2,722,1,0,,0,0,0,,2,0
0.0,0.3,,0.3,0.0,0.0,,1.3,0.3,6.1,13.00,1.00,2.00,3,358,0,1,,1,0,0,,4,1
0.0,0.3,,0.3,0.0,0.0,,0.3,0.3,6.1,0.00,2.00,11.00,3,222,0,1,,1,0,0,,1,1
0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.0,6.1,0.00,4.00,5.00,2,39,0,2,0,0,0,0,,1,0
0.3,0.0,,0.0,0.0,0.0,,1.3,0.0,6,8.00,0.00,2.00,3,971,1,0,,0,0,0,,4,0
0.0,0.3,,0.0,0.0,0.0,,0.7,0.3,6,0.00,2.00,0.00,3,340,0,1,,0,0,0,,2,1
0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.3,6,0.00,2.00,0.00,3,240,0,0,3,0,0,0,,6,1
0.3,0.3,,0.0,0.0,0.0,,0.0,0.0,6,1.00,0.00,6.00,3,221,1,1,,0,0,0,,0,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,5.9,0.00,0.00,0.00,3,1000,0,,,0,0,0,,0,0
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.9,0.00,0.00,,2,432,0,0,,0,0,0,,0,0
0.0,,,0.5,0.0,0.0,,0.0,0.0,5.9,0.00,10.00,,2,150,0,,,1,0,0,,0,0
0.0,1.0,,0.0,0.0,0.0,,0.3,0.0,5.9,1.00,2.00,1.00,3,53,0,3,,0,0,0,,1,0
-,-,-,-,-,-,,-,-,5.8,,0.00,0.00,0,1022,0,0,0,0,0,0,,0,0
1.0,0.0,,0.0,0.0,0.0,,2.5,0.5,5.8,10.00,6.00,,2,905,2,0,,0,0,0,,5,1
0.0,,,0.0,0.0,0.0,,0.5,0.0,5.8,0.00,1.00,,2,812,0,,,0,0,0,,1,0
0.0,,,0.0,0.0,0.0,,0.0,0.0,5.8,0.00,0.00,0.00,3,532,0,,,0,0,0,,0,0
0.3,,,0.0,0.0,0.0,,0.7,0.0,5.8,2.00,0.00,6.00,3,493,1,,,0,0,0,,2,0
0.0,,,0.0,0.0,0.0,,0.0,0.3,5.8,-1.00,0.00,0.00,3,198,0,,,0,0,0,,0,1
0.0,,,0.7,0.0,0.0,,0.7,0.3,5.7,1.00,0.00,20.00,3,961,0,,,2,0,0,,2,1
0.0,,,0.0,0.0,0.0,,0.5,0.5,5.7,0.00,0.00,,2,902,0,,,0,0,0,,1,1
0.0,,,0.0,0.0,0.0,,0.0,0.0,5.7,0.00,0.00,0.00,2,609,0,,,0,0,0,,0,0
-,-,,-,-,-,,-,-,5.7,0.00,0.00,0.00,0,557,0,0,,0,0,0,,0,0
0.0,,,0.3,0.0,0.0,,0.3,0.0,5.7,0.00,0.00,11.00,3,346,0,,,1,0,0,,1,0
0.0,0.0,1.5,0.5,0.0,0.0,,0.0,0.0,5.7,-1.00,13.00,,2,135,0,0,3,1,0,0,,0,0
0.3,,,0.0,0.0,0.0,,0.7,0.3,5.6,1.00,5.00,1.00,3,962,1,,,0,0,0,,2,1
